"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 04 04:57:10 UTC 2026","Sat Jul 04 04:57:12 UTC 2026","1502","smoke","smoke/cart.smoke.spec.ts","","","","SMOKE - add products and validate cart",""
"passed","Sat Jul 04 04:57:16 UTC 2026","Sat Jul 04 04:57:17 UTC 2026","1045","regression","loginNegative.spec.ts","Login Negative Scenarios","","","Empty password should show validation error",""
"passed","Sat Jul 04 04:57:14 UTC 2026","Sat Jul 04 04:57:15 UTC 2026","1299","regression","loginNegative.spec.ts","Login Negative Scenarios","","","Invalid password should not login",""
"passed","Sat Jul 04 04:57:18 UTC 2026","Sat Jul 04 04:57:19 UTC 2026","1002","regression","smoke/cart.smoke.spec.ts","","","","SMOKE - add products and validate cart",""
"passed","Sat Jul 04 04:57:19 UTC 2026","Sat Jul 04 04:57:20 UTC 2026","877","regression","smoke/login.smoke.spec.ts","","","","@smoke login validation",""
"passed","Sat Jul 04 04:57:16 UTC 2026","Sat Jul 04 04:57:17 UTC 2026","989","regression","loginNegative.spec.ts","Login Negative Scenarios","","","Empty username should show validation error",""
"passed","Sat Jul 04 04:57:10 UTC 2026","Sat Jul 04 04:57:12 UTC 2026","1434","smoke","smoke/login.smoke.spec.ts","","","","@smoke login validation",""
"passed","Sat Jul 04 04:57:21 UTC 2026","Sat Jul 04 04:57:22 UTC 2026","1238","e2e","regression/checkout.e2e.spec.ts","@regression Checkout Flow","","","should complete checkout with multiple products",""
"passed","Sat Jul 04 04:57:17 UTC 2026","Sat Jul 04 04:57:19 UTC 2026","2283","regression","logout.spec.ts","","","","Logout Feature",""
"passed","Sat Jul 04 04:57:19 UTC 2026","Sat Jul 04 04:57:21 UTC 2026","1456","regression","uiApi.integration.spec.ts","","","","UI + API E2E flow (SauceDemo + JSONPlaceholder)",""
"passed","Sat Jul 04 04:57:14 UTC 2026","Sat Jul 04 04:57:15 UTC 2026","1351","regression","loginNegative.spec.ts","Login Negative Scenarios","","","Locked out user should not login",""
"passed","Sat Jul 04 04:57:17 UTC 2026","Sat Jul 04 04:57:18 UTC 2026","1418","regression","regression/checkout.e2e.spec.ts","@regression Checkout Flow","","","should complete checkout with multiple products",""
